Komentar,Label
"Saya udah pernah makan, rasanya aneh",Negatif
Untung aja aku belum makan ikan sapu-sapu,Netral
Pantesan ikannya kotor kerana namanya sapu,Negatif
Aman krn racun terserap oleh kulitnya,Negatif
Sy malah mikir ikan sapu-sapu adalah kecoa dalam wujud ikan,Netral
Buang aj ikan itu ke lava,Netral
Bisa-bisa keracunan itu mahh,Negatif
Nggragasss,Netral
"Setuju banget, ini lebih ke permasalahan lingkungan",Netral
Warna dagingnya kaya daging kambing,Positif
Wkwkwkw tapi masih banyak yang di perdebatkan,Netral
Kalo yang bersih namanya ikan apa,Positif
Emang sempat kepikiran ingin mengkonsumsi nya,Netral
Sungguh teori yang tidak berdasar sama sekali,Netral
Silahkan saja kalau tujuan nya untuk di konsumsi gak jadi masalah,Positif
Sebenarnya ikan sapu sapu bisa aja dimakan asal di rawat di kolam yang bersih,Netral
"Anda salah, diluar negeri ikan ini tuh jadi kuliner",Positif
klo saya malah miripnya sama tikus,Netral
mana geli juga liat sisiknya ikan sapu2,Negatif
Salah bro ikan sapu2 bukan asli indonesia bro,Netral
Ouh gurihnyo,Positif
masak sihh gw makan aja masih hidup,Netral
Enak bgt cok sumpah kek pari,Positif
Berarti kalau yang dibudidayakan aman dong dimakan,Positif
Bisa bang asal ngopahnya bener,Netral
ah mang eak kakek gua sehat walafiat tuh makan ikan sapu-sapu,Positif
Kalo pengen tahu rasanya rasa dan teksturnya itu seperti ikan pari,Netral
Hama itu pengen banget ada pemberantas ikan sapu sapu,Negatif
Jadi tergantung darimana ikan itu berasal,Netral
aku pernah makan dulu bg tapi proses masaknya gak gampang,Netral
Selain itu durinya banyak,Netral
Aman bg. Gw aja sering makan,Positif
"Real min, mau ikan apa aja kalo udah hidup di air kotor pasti bahaya",Negatif
Untungnya aku belom pernah makan ikan ini sejak lahir,Netral
Boleh review rasanya seperti apa,Netral
Ihh makin gak minat konsumsi ikan ini,Netral
Waduh inikan spesies ikan invasif,Negatif
Coba jelaskan gimana cara ngolahnya,Netral
Alhamdulillah kalau kakeknya sehat,Positif
Saya udah pernah makan sekali rasanya aneh,Negatif
Masih enakan pari bang,Positif
Daging nya merah,Netral
Iya betul banget bang,Netral
Kalau tujuan nya di budidaya untuk di konsumsi kayaknya aman,Positif
Rasanya gimana bisa di jelaskan,Netral
Setuju kuncinya ada di habitatnya,Positif
Efeknya itu terlihat dlm jangka panjang,Netral
lah somay kan dri daging sapu2,Netral
ENAK LO NON,Positif
gk suka makan ikan,Negatif
kan nama nya juga ikan sapu2 kan bisa bersehin racun,Negatif
mercury nya dari mana,Netral
Racunnya bisa di ilangin gak ya,Negatif
hoak buktinya aku masih hidup aku sering makan ikan sapu sapu,Positif
Wihh keren dari ikan invasif hama menjadi ladang cuan mantap,Negatif
Tapi yg di makan bukan racun nya kan,Negatif
Dari perairan yang tercemar Limbah,Netral
Balik lagi tergantung habitat nya,Netral
kalau sungai nya gak ada limbah ya aman aja,Positif
Di Indonesia ikan sapu yg terkontaminasi malah dijadikan siomay,Netral
Klo di amazon airnya masih bersih,Netral
Amazon masih hutan bung di kota makan comberan,Negatif
langsung mual,Negatif
Beda sungai nya,Netral
"setelah tau pembuatan siomay pakai daging ikan sapu sapu, aku ga mau lagi beli nya",Negatif
enak bang makan ikan sapu,Positif
"Kolam ikan ternak kemasukan sapu2, 3 tahun kemudian ikan ternak hilang sisa ikan sapu2",Netral
Berarti klau kita makan ikan ini kita jadi kuat dong,Netral
ikan sapu sapu itu banyak proteinnya bagus buat dikonsumsi tiap hari,Positif
Dilihat dari bentuknya aja ngeri apa lgi untuk dimakan,Negatif
Ikan lainpun sebenarnya sama bahayanya jika hidup diperairan yang mengandung limbah,Negatif
Udh olh jdi tepung ikan aja untuk ternak,Netral
"Wait, ada tuh yg makan durinya aja di makan",Netral
Lah gw sering,Netral
Sama halnya dengan Kerang ijo aja bisa membawa bakteri,Negatif
Makanya para pejabat negara dan para anggota DPR,Netral
Makan aja yang penting rakyatnya tidak kelaparan,Netral
Tergantung habitat-nya,Netral
Ikan sapu-sapu bisa diolah menjadi makanan,Netral
Ikan sapu-sapu tu kek ikan lain,Positif
Mana ada enak kok gk ada masalah,Positif
Sok tau,Netral
Salmon tinggal di got anda becanda kah,Netral
Ngeyel,Netral
"Sungai kami masih asri, ikan ini enak rasanya",Positif
tergantung sungai nya kalo bersih sih gpp,Netral
Apa krn itu dia dinamakan ikan sapu2,Netral
Bisa jd salah satu solusi pembuangan limbah dapur,Netral
Kalau sdh jadi daging dlm tubuh ikan timbal sdh otomatis hilang,Netral
Ikan peliharaan full kimia,Negatif
Ama Bang Kalo Di Sungai Amazon,Netral
Blm di temukan orang mati dan sakit parah akibat makan ikan sapu-sapu,Netral
Jual ke Amerika auto kaya,Positif
PERSAINGAN KETAT ANTARA LELE DAN SAPU2,Netral
konsumsi ikan sapu2 harus liat kondisi air sungainya yah,Netral
Ikan ini di daerah aliran sungai amazon malah jd kuliner khas,Positif
Sebenarnya boleh dimakan kalo dia tinggal di habitat yang bersih,Positif
Muntahh,Netral
Aku makan enak,Positif
Ya kalo makan sesekali buat obati rasa penasaran,Netral
Buntal yg ada racun jugak dmakan,Negatif
Bro ikan itu makan alga bukan kotoran,Negatif
Enak kaga keras iya,Positif
Baguslah sungai kami mah kayak air Milo,Positif
Walau ikan jenis lain masih banyak yg lebih aman,Positif
Predator alami ikan sapu2 adalah tukang siomay,Netral
Ikan sapu-sapu aman dikonsumsi asalkan berasal dari perairan yang bersih,Positif
"Bohong, ikan gak akan mengandung racun",Negatif
Aku makan ikan sapu sapu,Netral
makan sapu sapu di pasar sugai kotor,Negatif
Sekilas olahan daging ikan nya kayak tongkol ya,Positif
Dijadiin menu mbg kayaknya cocok nih makan beracun gratis,Negatif
Yang makan kaya ga pernah diajari,Positif
Brati bukan salah ikanya dong,Netral
"Saya udah pernah makan, rasanya aneh",Negatif
Untung aja aku belum makan ikan sapu-sapu,Netral
Pantesan ikannya kotor kerana namanya sapu,Negatif
Aman krn racun terserap oleh kulitnya,Negatif
Sy malah mikir ikan sapu-sapu adalah kecoa dalam wujud ikan,Netral
Buang aj ikan itu ke lava,Netral
Bisa-bisa keracunan itu mahh,Negatif
Kita anggap hama,Negatif
"Setuju banget, ini lebih ke permasalahan lingkungan",Netral
Warna dagingnya kaya daging kambing,Positif
Wkwkwkw tapi masih banyak yang di perdebatkan,Netral
Kalo yang bersih namanya ikan apa,Positif
Emang sempat kepikiran ingin mengkonsumsi nya,Netral
Sungguh teori yang tidak berdasar sama sekali,Netral
Silahkan saja kalau tujuan nya untuk di konsumsi gak jadi masalah,Netral
Sebenarnya ikan sapu sapu bisa aja dimakan asal di rawat di kolam yang bersih,Netral
"Anda salah, diluar negeri ikan ini tuh jadi kuliner",Positif
klo saya malah miripnya sama tikus,Netral
mana geli juga liat sisiknya ikan sapu2,Negatif
Salah bro ikan sapu2 bukan asli indonesia bro,Netral
Ouh gurihnyo,Positif
masak sihh gw makan aja masih hidup,Netral
Enak bgt cok sumpah kek pari,Positif
Berarti kalau yang dibudidayakan aman dong dimakan,Positif
Bisa bang asal ngopahnya bener,Netral
ah mang eak kakek gua sehat walafiat tuh makan ikan sapu-sapu,Positif
Kalo pengen tahu rasanya rasa dan teksturnya itu seperti ikan pari,Netral
Hama itu pengen banget ada pemberantas ikan sapu sapu,Netral
Jadi tergantung darimana ikan itu berasal,Netral
aku pernah makan dulu bg tapi proses masaknya gak gampang,Netral
Selain itu durinya banyak,Netral
Aman bg. Gw aja sering makan,Positif
"Real min, mau ikan apa aja kalo udah hidup di air kotor pasti bahaya",Negatif
Untungnya aku belom pernah makan ikan ini sejak lahir,Netral
Boleh review rasanya seperti apa,Netral
Ihh makin gak minat konsumsi ikan ini,Negatif
"popolasi ikan ini semakin tahun semakin banyak, saya lebih setuju ikan ini di jadikan bahan pakan ternak ketimbang di kunsumsi
",Netral
"Namanya aja ikan sampah jadi kegunaannya makan sampah.",Netral
cukup bagus untuk aquarium besar,Positif
ikan ini termasuk ikan air tawar,Netral
warnanya cenderung gelap,Netral
ikan ini menarik dipelihara,Positif
ikan ini terlalu banyak di sungai,Negatif
ikan sapu sapu berasal dari amerika selatan,Netral
ikan ini kuat hidup di berbagai tempat,Positif
perkembangbiakannya terlalu cepat,Negatif
bagus untuk membersihkan lumut,Positif
bentuknya menyeramkan,Negatif
ikan ini termasuk ikan air tawar,Netral
ikan ini kuat hidup di berbagai tempat,Positif
ikan ini merusak habitat ikan lain,Negatif
ternyata ikan ini bermanfaat juga,Positif
banyak ditemukan di indonesia,Netral
ikan ini sangat mengganggu,Negatif
nelayan rugi karena ikan ini,Negatif
bentuknya menyeramkan,Negatif
ternyata bisa dimakan juga,Positif
ikan ini menarik dipelihara,Positif
ikan ini aktif pada malam hari,Netral
ikan ini memiliki mulut penghisap,Netral
unik sekali bentuk ikan sapu sapu,Positif
perkembangbiakannya terlalu cepat,Negatif
ikan ini menjijikkan,Negatif
jd kepikiran penyebab sinkhole atau pubang besar tiba-tiba itu bs jadi ikan sapu sapu,Netral
kenapa gk jadi pupuk aja buat pertanian atau pangan buat peternakan,Netral
disungai emang gk ada ikan lain selain sapu sapu,Netral
gw takut ikan sapu sapu jadi mbg,Negatif
"Dulu saya pernah makan ikan sapu-sapu, Alhamdulliah dampaknya saya rajin bersih bersih ruangan rumah",Positif
salah satu penyebab banjir,Negatif
jadi selama ini bakso murah itu terbuat dari....,Negatif
"kok dimakan si, ikan ini makan limbah tentunya megandung merkuri dan zat logam sangat tidak dianjurkan untuk dikonsumsi apalagi untuk ibu hamil",Negatif
"kalo di suruh milih makan itu apa nasi sama garem doang, aku lebih milih makan nasi sama garem",Netral
ini ikan vibesnya kaya anak punk,negatif 
Gasuka bgt bentukannyaaaa,negatif
ni ikan desainnya ga bgt,negatif
jiji bgt sm motifnya,negatif
jujur penasaran bgt sama hasilnyaa,negatif
"aneh banget motifnyaa, gasukaaa",negatif
menghina ciptaan Tuhan,positif 
lah di kampung ku kok nm nya ikan tokke,netral 
kak saran kulit hitam nya jangan di campur ke blender,positif 
"Ikan itu gk akan makan kamu, jadi kmu janhan jerit2 mulu berisik denger nya",netral 
"ntp hasil grgr KATANYA ada yg bikin pempek, otak2, siomay pake ikan sapu sapu aku jadi takut jajan",netral 
iya dekil bgt gasuka,negatif 
kaya gembek gitu ka,netral 
"iya, pokoknya di mata gue ni ikan kaya ada aura aura begalnya gitu",netral 
"Iya kek preman,pake rante gede klo di deskripsikan ",netral 
"akhirnya ada yg mendeskripsikan dari kemaren bingung ni ikan GK asing tapi apa gitu, e",netral 
kalau masuk dunia SpongeBob bisa disebut anak punk,netral 
bentuk nya kaya jamet,negatif 
"Jelek banget, sumpahh benciii",negatif
kak itu manfaat nya buat bikin somay.,negatif 
rasa nya gimana jir ada perbedaan ga sama ikan pada umumnya sama ikan sapu²,netral 
kalo somay dari ikan sapu sapu itu baunya amis banget katanya gitu bisa dibedakan tp ga tau juga yaa belom pernahh nemu somay begituan,negatif
kan udah dibilang kalo itu dari sungai Ciliwung yg kotor dan tercemar logam berat. makanya kakak ini nyari manfaatnya dari segi non pangan alias bukan makanan.,negatif 
q setiap hari makan,positif 
"ya sama gue jg tiap hari makan kak, ga makan ya laper",netral 
itu dibuat cilok enak kak ,positif 
hokkk cuh,negatif 
tebak nilai ipa nya,netral 
buat pakan kucing bisa g ya?,positif 
aku yg pas sd sllu bilang ikan ini imut krna di taruh di kolam skolah,positif 
gak nyangka jdi jelek bngt.,negatif 
ini ikan logo Indosiar jama dulu bukan siii??,netral 
Geli liat motifnya,netral 
Siomay,positif 
Dengerin ya temen temen “MANFAAT NON PANGAN”,positif 
Klo di kalimatan namanya iwak indusiar. Koreksi jika salah,positif 
t-tinggi protein...,netral 
ikan ini aja dari Amazon yg juga ada di Brazil jadi di sana jumlahnya udah kelebihan kalau di jual di sana gak akan laku,negatif 
kalo Ikan sapu sapu memakan telur ikan lain lah sama dong. kita makan telur ayam lain ,netral 
ak gk benci siapa pun tpi ak cmn GK suka ,netral 
sebenarnya bukan di air kotor memang kotor kali ya?!,negatif 
kenapa GK di jual di Brazil,positif 
bukannya ikan ini bisa gali tanah,negatif
"trs lu punya ide ga, ikan sapu2 sebanyak itu di apain? kan dimakan jg ga boleh, di air jadi invasif. jangan komen aja bisa nya lu",positif 
apakah gbsa di kasi makan ke hewan lain,positif 
gk ada yg mau makan,netral 
"bisa kok, dimakan sama peternak kepiting sama peternak buaya.",positif 
proses buat makanan lele,positif 
di makan manusia lo ga boleh terus mau di kasih makan ikan lele terus ikan lele nya di makan manusia apa bedanya anjir wk,netral 
Ikan sapu sapu bisa sebanyak dan se invasif itu karena disini memang gaada predator alaminya selain buaya,positif 
"kulit nya keras, tubuh nya tulang doang, daging seuprit, banyak bakteri, hewan pun gaada yang mau makan dia.",netral 
keras,netral 
"Kalau dikasi ke ternak, nanti timbalnya bisa berpindah ke hewan ternaknya, kalau kita makan hewan ternaknya, timbalnya malah pindah ke tubuh kita. Bisa tonton video penjelasaanya di @Dennis - Food Technologist",positif 
Kalau dihabitat aslinya yah jadi makanan otter. Tp di indo gak ada musuh alaminya.,positif 
"Gabisa kakkk dia mengandung logam berat. kl dimakan hewan lain, ngeracunin hewan lain namanya, terus kalo dijadiin pakan ternak, ternaknya dimakan manusia, logam beratnya ke kita juga krn logam berat itu sulit terdegradasi jd cuma pindah doang biasanya",positif 
di indo ga ada predator alami yg efektif buat kill ikan sapu² nya bg,positif 
"tau sendiri sungai di indonesia sekotor apa, sapu2 tuh mengandung logam berat di tubuhnya. kalo lu kasih jadiin pakan ternak sama aja kayak lu ngasih racun ke hewan2 ternak.",positif 
Takutnya di salah gunakan tau kan karakter warga konoha nanti di buat bahan makanan,positif 
"baru fyp tadi, otter ternyata suka makan ikan sapu sapu",positif 
komodo aja ga doyan,netral 
"kandungan logamnya dimakan ayam terus ayamnya dijadin geprek, ya sama aja",netral 
Sapu-sapu bisa bertahan lama tanpa air bang sampe 4 minggu itu pun kalo kondisi kering kerontang (macam hibernation lah),netral 
Disolo ikan sapu sapu 1kg 30rb,positif 
"bisa z Carikan d sini mas,, nnti z kirim d solo,, 1 trek cukup GK?",positif 
daginge gor sak sendok ,netral 
kebal orang ny makan sapu-sapu ,netral 
"iya, klau ada ikan pel dan ikan lap bisa di sikat jugaa wkwk",netral 
Dia punya sirip yang kuat bang jadi bisa buat pindah tempat,positif 
dikasih solusinya coba? jangan ini itu doang.,netral 
kulit nya aja bisa bikin luka bang,negatif 
Karas bnget suaranya,netral 
MUI sedang mengetik,netral 
kenapa gk jadi pupuk aja buat pertanian atau pangan buat peternakan,positif 
disungai emang gk ada ikan lain selain sapu2,netral 
"hargailah setiap mahluk,karna ikan juga manusia.",positif 
Aneh,netral 
sayang banget mending buat gua,netral 
namanya ikan sapu-sapu tapi males nyapu,netral 
fungsi ikan sapu sapu itu biar ga ada lumut ges di bak mandinya,positif 
gigit ga si? aku dulu punya pernah digigit pas mo ngasih makan,negatif 
"setau saya sapu sapu ga ada bau, cuma klau dilingkungan sungai ikan sapu sapu tu hama",negatif 
"over populasi, suka makanin ikan konsumsi di sungai",negatif 
soalnya dia gali bawah tanah kita mangkanya menyebabkan longsor soalnya kan di gali terus menerus klo di air yg bawah nya ad tanah nya kk,negatif 
bayangin mata lagi perih kena shampo trs nyiduk air ikannya kebawa,negatif 
intinya semua hal tidak bermasalah jika tidak nerlebihan,positif 
katanya banyak parasit nya bejir,negatif 
"orang2 pesisir bengawan ga asing mengonsumsi ikan ini, sebelum berita fomo sapu2 jakarta muncul",positif 
dulu aku di rumah nenek jg ada ikan sapu sapu di bak mandinya trus kata kakek aku ikannya udh gedeeee bangetttt dan aku g brani liat ke bak mandi itu kebayang gedenya segede baknya,netral 
Bisa buat makan lumut tapi gw ngerinya dia berak juga disitu bayangin airnya lu pake gosok gigi,netral 
bisa jadi kalo dia hidup sejak zaman dinosaurus,positif 
2050: ini fosil ikan langka,Netral
1% menuju negara maju,Negatif
itu baru di jakarta ga kebayang sebanyak apa di kota lain,Netral
"harga siomay akan naik, karena bahan baku mulai langka..",Negatif
pemerintah skrg wajib diberi apresiasi udh mau mulai dari hal kecil yg merusak alam ga cuman ngurus aspal mulu,Positif
bisa yu jadi negara maju,Netral
Indonesia menuju negara maju,Positif
Emg knp sii bnyk ikan itu?? Maaf aku ngga tauu,Netral
"selagi bermanfaat bagi rakyat, apa salahnya kita mendukung?",Netral
menuju indonesia emass,Positif
ikan sapu-sapu kan tugas nya bersih-bersih..seperti Cleningservis.,Netral
"jumlahnya udh terlalu banyak,susah mati,gampang berkembangbiak,mmg mulai harus dilawan",Positif
pekerjaan gabut sedunia,Negatif
ikan sapu sapu bahasa inggris nya cleaning share fish,Netral
Banyak banget,Netral
"Gara gara orang banyak bilang dipake buat somay guee tiap beli somay cuma isian telor, kentang ama kol doangg",Negatif
ikan apa yg bisa hidup di situ selain sapu-sapu?,Netral
terus yg nyapu siapa?,Netral
ikan: lalu buat apa aku diciptakan,Negatif
hama dongo,Negatif
"jjur ak pernah makan ikan itu, dan rasanya enak",Netral
Sebenernya dri awal itu kok bisa dia ada di indo itu loh,Netral
soalny lu masi tlol,Negatif
ga bermanfaat banget asli,Negatif
ikan sapu-sapu hama adek,Netral
merusak ekosistem seperti apa biasanya?,Netral
"ikan invasif dan indonesia ini bukan tempat dia, harus nya dia ada di brazil karna disana banyak predator alami nya sedangkan di indonesia itu hampir ga ada predator alami nya+rakus kalo makan+suka makanin telur ikan lokal+bikin lobang di pinggiran kali bikin tanah gampang longsor",Netral
trusss yang nyapu got siapa nanti nya,Netral
ikan sapu sapu apa hubungan nya sama tukang jual somay (nanya),Netral
berapa persen kemajuan nih,Netral
harus dapet penghargaan tiktok Indonesia sii,Positif
mulai dari hal kecil dulu,Netral
oke lah yg penting ada kemajuan,Positif
"ga kehitung kemajuan sih, soalnya sapu sapu emg wajib di basmi",Negatif
"coba serching : apa nutrisi ikan sapu sapu, kalau ud kabarin yaa",Netral
lagi sarkas itu buat oknum yg jual siomay pake ikan sapu²,Negatif
emg napa??,Netral
Nnti di olah jdi bhan,Negatif
"anj bs jd scr kg sadar gua makan ikan sapu"" anjg, hoek",Negatif
"justru itu tempatnya bodoh, ko malah yakin",Negatif
lah emang asalnya dari sono beghoo,Negatif
di sungai amazon ada jutaan ekor,Netral
nah gini rakyat sama pemerintah sejalan,Positif
akun tiktok namanya apa bg?,Netral
"nah betul, coba semua pemprov buat begini deh biar mengurangi hama",Positif
disungai kampung gwa melimpah bg kaya gitu,Netral
"katanya 1 ikan bisa beranak 1000 telur, gilak",Netral
modal nangkep ikan harapan nya jadi negara maju rusakk,Negatif
lu yang ngehambat indo maju tolol,Negatif
"GINI NIH YANG PERLU DIGANTI MAH RAKYATNYA, minimal dukung kek biar negara maju anjg",Negatif
apa urusannya sama ikan,Negatif
nah si id0t muncul juga,Negatif
siapa yg kau maksud ngurus aspal itu bung?,Netral
All Pemkot di Indo masih jadi problem urusan aspal mas,Negatif
bener,Positif
"ga semua org tau, kalo situ tau ya kasi tau biar org yg gatau jdi tau",Negatif
padahal sudah banyak beritanya tinggal cari tau aja,Negatif
Buang aja hpnya buang,Negatif
emg knp ya ka ikn it? anya srius gtau ak,Netral
"Invasif kak , Bikin ikan lokal kita ngilang",Netral
"owh, mksi ya ka",Positif
statemen bodoh sih,Negatif
Komen terbodoh sedunia,Negatif
sadar nya baru sekarang,Negatif
keren bgt Indonesia udah d titik ini.,Positif
berawal dari satu orang keren,Positif
"kalau harga siomay tiba"" naik, perlu dicurigai",Negatif
kalo harga siomay naik berarti ytta,Negatif
Yang baik mari kita apresiasi,Positif
keren bang,Positif
ini ikan Indosiar kan,Netral
harga siomay makin mahal,Negatif
yg di dpr kpan?,Negatif
2 hari kemudian siomay/batagor/pentol/bakso pada naik harganya dg alasan plastik naik,Negatif
ikan sapu2 itu.. ikan indosiar itu kah. di tempatku namanya ikan indosiar krna pertama kali muncul dari indosiar.,Netral
ikan sapu sapu juga mahluk hidup..,Negatif
lah tugas dia kan bagus kang nyapu sungai,Negatif
fungsi nya apa?,Netral
"bocah kampung dng0, otak dangkal mana bisa mikir",Negatif
kasian,Negatif
bukannya dia bisa bersihin selokan ya? kayak ikan koi,Netral
ikan sapu-sapu bahasa inggris nya cleningserfish ya ?,Netral
maksudnya apa ya,Netral
makanya baca tolol,Negatif
pengalihan isu,Negatif
di danau belakang rumah ku lumayan banyak deh kyknya..m,Netral
untung gw kasi tau,Negatif
sotoy ah,Negatif
SDM rendah diam aja,Negatif
"itu hama anying, ngerugiin/ngerusak ekosistem",Negatif
"lu juga, yang penting komen",Negatif
"Masalah nya telur ikan ikan yan+B2:B71g lain sama dia di makan, ikan ikan yang lain populasi nya hilang, itu ikan sapu2 bentukan nya udah seperti itu , kaya ikan purba aja",Positif
Emang ikan sapu** knp?,Netral
Padahal ikan ini suka kebersihan,Positif
Kang somay be like : pak sini saya aja yg musnahkan jadi somay,Negatif
"Ganggu kenapa ? Karena ada yg panen utk siomai ya , padahal beracun krn lingkungan hidupnya yg tercemar",Positif
Serem banget bisa segede itu,Netral
Pdhl bs dijadiin siomay,Negatif
Jadiin makanan kucing sama anjing bisa kayanya tuh,Negatif
"heran bgt bnyk komen hate, mereka gataukah ini ikan paling hama? sdm rendah anjir",Positif
"Disana sapu2 digrebeg, di danau toba sapu2 disebar. GIMANA COBA NGEGEREBEG IKAN SAPU2 SE DANAU TOBA",Negatif
"Kalau ada yg komen heran dan ngerasa kaya ga ada kerjaan lain, ikan sapu2 itu hama, merusak dinding saluran/dinding tanah, ikan ini ga punya pemangsa alami karena kulitnya yg keras dan duri yg tajam, sekali bertelur bisa 2000 sd 3000 telur menetas dalam waktu 3-7hari, kebayang kan segimana cepet populasinya? yg ada ikan air tawar endemik indonesia bisa punah, kalah populasi karna ikan ini. jadi please bisa baca artikel dulu dari berbagai sumber, kenapa ikan sapu2 jd hama, baru dah komen ya👏",Positif
Sapu sapu pun kena razia wkwkwk,Netral
"Di danau toba malah dilepaskan karna buat menghambat ikan devil, tapi jadi takut danau toba isinya ikan sapu",Negatif
Aku melihat banyak netizen yang penting kritik ke pemerintah daripada mikir dulu njing aowkwkwk.,Negatif
"Ikan sapu sapu merusak tanggul sungai, membuat lubang-lubang besar di tebing sungai untuk bersarang, yang memicu erosi, tebing longsor, dan pendangkalan sungai",Positif
"ikan sapu"" bisa di makan gasii? dibanding mubazir,serius nanya",Netral
Ini banyak kau katanya mau buat pempek ikan sapu² tam @juan.riztama,Netral
"Kalo tiba tiba harga somay disekitar rumah kalian jadi murah, tiati kata gua mah wkwk",Negatif
Tapi aga ga tega jugaaa yaa liat dibunuhin gitu wkwkwkw kaya Raisa.. Serba salah..,Negatif
Potekin langsung Pak kepala si sapu ini,Netral
Klo di sini laku itu yg kecil 5k,Netral
Hmmm baso ikan sedaapp,Negatif
MEREKA YANG NYINYIR GA NGERTI BAHAYA NYA ITU IKAN ITU,Positif
emang di rantai makanan tidak ada predator nya yah ikan sapu-sapu...,Netral
"Ikan sapu2 be like: ""trus aku diciptakan buat apa? Buat dibuang dan dibunuh? """,Netral
"Yang bermasalah adalah manusianya bukan ikan , pertanyakan kenapa sungai bisa jadi seperti itu",Negatif
"FYI, ikan sapu-sapu ini bukan ikan asli Indonesia dan termasuk ikan invasif ya, bisa merusak ekosistem karena ikan ini daya adaptasinya tinggi, berkembangbiak sangat cepat, dan memakan telur ikan lokal. Resiko jika ditebar ke perairan Indonesia yaitu bisa menggeser spesies ikan asli Indonesia. 😊",Positif
oh jadi ikan indosiar itu ikan sapu2,Netral
"Di kubur deket pohon2 aja pak, biar kalo busuk diserap tanah. Bisa bermanfaat jadi pupuk buat pohon",Positif
Abang somay datang mengawasi,Negatif
Diprediksikan menu siomay akan ada dimana mana umtuk sementara waktu,Negatif
Makasih Pak Petugas!,Positif
Dagang bakso menyukai inii,Negatif
"Waduuuu, harus musanahin ikan sapu ga sih",Positif
Pasti ikan nya kaget pas di grebek,Netral
Jd pensiun makan siomay dl,Negatif
"Ikan ini bioakumulasi logam berat yak, kalo makan ini bisa kena kanker dlm waktu lama n konsumsi sering, walau namanya sapu sapu tp dia itu malak perusak ekosistem. Buktinya browsing sendiri aja, dah banyak di berita jg ini.",Positif
Hama kalo kebanyakan lagian bukan ikan asli Indonesia,Positif
"Ikan sapu sapu di akuarium waktu itu satu aja, ikan ikan lain kecil yang lucu di akuarium nya ga ketolong please, allahu a'lam sih ya tapi @_rizkasss",Positif
"boleh disumbangin ke penangkaran buaya terdekat, supaya tidak sia sia",Positif
Ihhh sudah jadi monster,Negatif
